icao,ident,name,municipality,state,latitude_deg,longitude_deg,iso_country,type,point_category,source
SWBW,SWBW,Fazenda Água Nascente,SONORA,MS,-17.235556,-53.729444,BR,private_aerodrome,Brasil,ANAC_privados
SWBX,SWBX,Fazenda Santo Antônio do Paraíso,ITIQUIRA,MT,-17.491667,-55.221389,BR,private_aerodrome,Brasil,ANAC_privados
SWBY,SWBY,Fazenda Bela Vista,INDIARA,GO,-17.153611,-50.014167,BR,private_aerodrome,Brasil,ANAC_privados
SWBZ,SWBZ,Projeto Brasil I,SANTA RITA DE CÁSSIA,BA,-11.408056,-44.668333,BR,private_aerodrome,Brasil,ANAC_privados
SWCC,SWCC,Candote,TRÊS LAGOAS,MS,-20.838611,-52.301667,BR,private_aerodrome,Brasil,ANAC_privados
SWCD,SWCD,Colider,COLÍDER,MT,-10.761111,-55.462222,BR,private_aerodrome,Brasil,ANAC_privados
SWCE,SWCE,Fazenda Centúria Austrália,FORMOSA DO RIO PRETO,BA,-11.351944,-46.161111,BR,private_aerodrome,Brasil,ANAC_privados
SWCG,SWCG,T & T,BLUMENAU,Santa Catarina,-26.887778,-49.087222,BR,heliport,Brasil,ANAC_helipontos
SWCH,SWCH,Fazenda Santa Efigênia,JABORANDI,BA,-14.496111,-45.922222,BR,private_aerodrome,Brasil,ANAC_privados
SWCI,SWCI,Agropecuária Rio da Prata,POSSE,GO,-14.225,-46.548056,BR,private_aerodrome,Brasil,ANAC_privados
SWCJ,SWCJ,Fazenda Campo Alegre,PALMEIRA DO PIAUÍ,PI,-8.5911111,-44.248333,BR,private_aerodrome,Brasil,ANAC_privados
SWCK,SWCK,WEST CORP,BARUERI,São Paulo,-23.501667,-46.851111,BR,heliport,Brasil,ANAC_helipontos
SWCM,SWCM,Hospital Marcio Cunha,IPATINGA,Minas Gerais,-19.497222,-42.539444,BR,heliport,Brasil,ANAC_helipontos
SWCN,SWCN,Instituto de Ciências Náuticas,MARICÁ,Rio de Janeiro,-22.934444,-42.948611,BR,heliport,Brasil,ANAC_helipontos
SWCO,SWCO,Fazenda Continental,COCALINHO,MT,-14.715556,-51.209722,BR,private_aerodrome,Brasil,ANAC_privados
SWCP,SWCP,Pontal,PONTAL,SP,-21.032778,-48.011667,BR,private_aerodrome,Brasil,ANAC_privados
SWCR,SWCR,Fazenda Canaã,FORMOSA DO RIO PRETO,BA,-10.3525,-45.564722,BR,private_aerodrome,Brasil,ANAC_privados
SWCS,SWCS,Corticeiras,CRISTAL,RS,-30.978611,-51.937222,BR,private_aerodrome,Brasil,ANAC_privados
SWCT,SWCT,Laguna Iguaçu,CURITIBA,Paraná,-25.449167,-49.288889,BR,heliport,Brasil,ANAC_helipontos
SWCU,SWCU,Fazenda Curuá,ALTAMIRA,PA,-8.0041667,-54.935556,BR,private_aerodrome,Brasil,ANAC_privados
SWCV,SWCV,CMA,BARRETOS,São Paulo,-20.569444,-48.693056,BR,heliport,Brasil,ANAC_helipontos
SWCW,SWCW,Ycambi Ranch,CARATINGA,Minas Gerais,-19.718056,-42.131944,BR,heliport,Brasil,ANAC_helipontos
SWCX,SWCX,Icon Realty Cajamar,CAJAMAR,São Paulo,-23.376111,-46.842778,BR,heliport,Brasil,ANAC_helipontos
SWCY,SWCY,Comary,TERESÓPOLIS,Rio de Janeiro,-22.451667,-42.98,BR,heliport,Brasil,ANAC_helipontos
SWDA,SWDA,Centro Administrativo da Bahia - CAB,SALVADOR,Bahia,-12.9475,-38.431944,BR,heliport,Brasil,ANAC_helipontos
SWDB,SWDB,Fazenda Barro Preto,CORUMBÁ,MS,-19.818611,-57.206111,BR,private_aerodrome,Brasil,ANAC_privados
SWDC,SWDC,Fazenda do Coronel,CORAÇÃO DE MARIA,BA,-12.271389,-38.751944,BR,private_aerodrome,Brasil,ANAC_privados
SWDD,SWDD,Fazenda Colibri,SANTO ANTÔNIO DO LEVERGER,MT,-16.203889,-55.398333,BR,private_aerodrome,Brasil,ANAC_privados
SWDF,SWDF,Residência Oficial de Águas Claras II,BRASÍLIA,Distrito Federal,-15.8275,-48.023056,BR,heliport,Brasil,ANAC_helipontos
SWDH,SWDH,Damha Golfe,SÃO CARLOS,São Paulo,-21.951111,-47.898056,BR,heliport,Brasil,ANAC_helipontos
SWDI,SWDI,Aeroagrícola Solo,PARANAPANEMA,SP,-23.447778,-48.8675,BR,private_aerodrome,Brasil,ANAC_privados
SWDJ,SWDJ,Trend Tower,BARUERI,São Paulo,-23.485556,-46.855278,BR,heliport,Brasil,ANAC_helipontos
SWDL,SWDL,Del Rey,SALVADOR,Bahia,-12.9925,-38.44,BR,heliport,Brasil,ANAC_helipontos
SWDO,SWDO,Hotel da Fazenda Dona Carolina,ITATIBA,São Paulo,-22.941111,-46.700833,BR,heliport,Brasil,ANAC_helipontos
SWDP,SWDP,Haras da Mata,CESÁRIO LANGE,São Paulo,-23.175,-47.924167,BR,heliport,Brasil,ANAC_helipontos
SWDR,SWDR,Fazenda Bandeirantes,TAQUARUSSU,MS,-22.608889,-53.447222,BR,private_aerodrome,Brasil,ANAC_privados
SWDS,SWDS,Condomínio Aéreo Santos Dumont,JI-PARANÁ,RO,-10.953889,-61.993333,BR,private_aerodrome,Brasil,ANAC_privados
SWDT,SWDT,Dezoito,NERÓPOLIS,GO,-16.438889,-49.199444,BR,private_aerodrome,Brasil,ANAC_privados
SWDU,SWDU,Destilaria Tabu,CAAPORÃ,PB,-7.4705556,-34.889444,BR,private_aerodrome,Brasil,ANAC_privados
SWDV,SWDV,Fazenda Vereda,ESMERALDAS,Minas Gerais,-19.686667,-44.433889,BR,heliport,Brasil,ANAC_helipontos
SWDW,SWDW,Fazenda Pessegueiro,PASSO FUNDO,RS,-28.336667,-52.485556,BR,private_aerodrome,Brasil,ANAC_privados
SWDX,SWDX,Edifício Torre Almirante,RIO DE JANEIRO,Rio de Janeiro,-22.9075,-43.175556,BR,heliport,Brasil,ANAC_helipontos
SWDY,SWDY,Fazenda Água Fria,CRIXÁS,GO,-14.754444,-50.3775,BR,private_aerodrome,Brasil,ANAC_privados
SWDZ,SWDZ,do Zé,RIBEIRÃO PRETO,São Paulo,-21.23,-47.784167,BR,heliport,Brasil,ANAC_helipontos
SWEA,SWEA,Fazenda Santiago de Compostela,COMODORO,MT,-13.451111,-60.270278,BR,private_aerodrome,Brasil,ANAC_privados
SWEB,SWEB,Bahiagliding,FORMOSA DO RIO PRETO,BA,-11.261111,-45.699167,BR,private_aerodrome,Brasil,ANAC_privados
SWEC,SWEC,Estância Araguaia,ARAGARÇAS,GO,-15.898333,-52.095833,BR,private_aerodrome,Brasil,ANAC_privados
SWED,SWED,Fazenda Eldorado,ARAPOEMA,TO,-7.7586111,-49.127778,BR,private_aerodrome,Brasil,ANAC_privados
SWEF,SWEF,Fazenda Europa,COCALINHO,MT,-14.813056,-51.156667,BR,private_aerodrome,Brasil,ANAC_privados
SWEG,SWEG,Engevix,BARUERI,São Paulo,-23.502222,-46.8275,BR,heliport,Brasil,ANAC_helipontos
SWEH,SWEH,Fazenda Agroplan,QUERÊNCIA,MT,-11.663333,-52.85,BR,private_aerodrome,Brasil,ANAC_privados
SWEJ,SWEJ,Associação Tocantinense de Aviação,PORTO NACIONAL,TO,-10.182778,-48.545278,BR,private_aerodrome,Brasil,ANAC_privados
SWEL,SWEL,Limão,SÃO PAULO,São Paulo,-23.505556,-46.680556,BR,heliport,Brasil,ANAC_helipontos
SWEN,SWEN,Estância Recanto,ALTA FLORESTA,MT,-9.9375,-56.087222,BR,private_aerodrome,Brasil,ANAC_privados
SWEO,SWEO,Itapará Sport Fishing,RORAINÓPOLIS,RR,0.209722222,-61.55,BR,private_aerodrome,Brasil,ANAC_privados
SWEP,SWEP,Estância Punta Del Este,SERTANEJA,PR,-22.804444,-50.9825,BR,private_aerodrome,Brasil,ANAC_privados
SWEQ,SWEQ,Clube de Esportes Aéreos e Náuticos do Pará,BELÉM,PA,-1.2672222,-48.43,BR,private_aerodrome,Brasil,ANAC_privados
SWER,SWER,Fazenda Entre Rios,PORTO MURTINHO,MS,-21.358611,-57.101389,BR,private_aerodrome,Brasil,ANAC_privados
SWES,SWES,Clube de Aviação Experimental do Paraná,IBIPORÃ,PR,-23.287222,-51.090556,BR,private_aerodrome,Brasil,ANAC_privados
SWET,SWET,KKS-37,NOVA IGUAÇU,Rio de Janeiro,-22.738611,-43.493611,BR,heliport,Brasil,ANAC_helipontos
SWEU,SWEU,Fazenda Americana,ITAMBACURI,MG,-18.146944,-41.714444,BR,private_aerodrome,Brasil,ANAC_privados
SWEV,SWEV,Fazenda Cambara 1,CORRENTINA,BA,-13.604722,-46.052222,BR,private_aerodrome,Brasil,ANAC_privados
SWEW,SWEW,Fazenda Felicidade,PORTO ESPERIDIÃO,MT,-15.840556,-58.635278,BR,private_aerodrome,Brasil,ANAC_privados
SWEX,SWEX,Boa Esperança,SANTA LUZIA,MA,-3.9119444,-45.783056,BR,private_aerodrome,Brasil,ANAC_privados
SWEY,SWEY,Fazenda São Fernando,VASSOURAS,Rio de Janeiro,-22.345833,-43.533889,BR,heliport,Brasil,ANAC_helipontos
SWFA,SWFA,Fazenda Pamplona,CRISTALINA,GO,-16.215556,-47.626389,BR,private_aerodrome,Brasil,ANAC_privados
SWFB,SWFB,Fazendas Bergamini,RIVERSUL,São Paulo,-23.787222,-49.424167,BR,heliport,Brasil,ANAC_helipontos
SWFC,SWFC,Fazenda Cedro,LUCAS DO RIO VERDE,MT,-12.976389,-56.183611,BR,private_aerodrome,Brasil,ANAC_privados
SWFD,SWFD,Fazenda Don Felipe,PONTA PORÃ,MS,-22.559167,-55.375833,BR,private_aerodrome,Brasil,ANAC_privados
SWFE,SWFE,Fazenda São Félix,MACHADINHO D'OESTE,RO,-9.2927778,-61.806667,BR,private_aerodrome,Brasil,ANAC_privados
SWFF,SWFF,Fazenda Franciosi,SAPEZAL,MT,-13.418889,-58.472778,BR,private_aerodrome,Brasil,ANAC_privados
SWFH,SWFH,Fly Club,PORTO SEGURO,BA,-16.358333,-39.015,BR,private_aerodrome,Brasil,ANAC_privados
SWFI,SWFI,Fazenda Santa Paula,CÁCERES,MT,-15.643056,-57.548056,BR,private_aerodrome,Brasil,ANAC_privados
SWFJ,SWFJ,Fazenda Estrela,ANTÔNIO JOÃO,MS,-22.211944,-55.8,BR,private_aerodrome,Brasil,ANAC_privados
SWFL,SWFL,Fazenda Peixe Bravo,SANTA TEREZINHA,MT,-10.093889,-50.3825,BR,private_aerodrome,Brasil,ANAC_privados
SWFM,SWFM,Fazenda Maiador,GOIANDIRA,GO,-18.174444,-48.210833,BR,private_aerodrome,Brasil,ANAC_privados
SWFP,SWFP,Fazenda Prata,RURÓPOLIS,PA,-4.1605556,-55.381944,BR,private_aerodrome,Brasil,ANAC_privados
SWFQ,SWFQ,Fazenda Alvorada,PORTO NACIONAL,TO,-10.391944,-48.679444,BR,private_aerodrome,Brasil,ANAC_privados
SWFS,SWFS,Fazenda São Francisco,MOGI MIRIM,São Paulo,-22.382778,-47.008889,BR,heliport,Brasil,ANAC_helipontos
SWFT,SWFT,Office Tower,SÃO LUÍS,Maranhão,-2.5013889,-44.290833,BR,heliport,Brasil,ANAC_helipontos
SWFU,SWFU,Fortuna,VILA BELA DA SANTÍSSIMA TRINDADE,MT,-16.166944,-59.500556,BR,private_aerodrome,Brasil,ANAC_privados
